Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Write Jenkinsfile.,CPB-24,10337,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:09 PM,15/Sep/25 4:25 AM,,15/Sep/25 4:25 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20573bf6,,,,,,,,,,,,,,,,0|i000pn:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_15731700,,10331.0,CPB-21,Jenkins Pipeline Setup,Done,15/Sep/25 4:25 AM
Configure pipeline.,CPB-25,10339,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:09 PM,15/Sep/25 4:25 AM,,15/Sep/25 4:25 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f87c673,,,,,,,,,,,,,,,,0|i000pv:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_15707724,,10331.0,CPB-21,Jenkins Pipeline Setup,Done,15/Sep/25 4:25 AM
CI/CD Stages,CPB-22,10333,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:08 PM,15/Sep/25 4:26 AM,14/Sep/25 11:15 PM,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b29067a,,,,,,,,,,,,,,,,0|i000p7:,,,CPB Sprint 1,,,,,,,,,,,10066_*:*_1_*:*_19125932_*|*_10067_*:*_1_*:*_0,,10294.0,CPB-3,Jenkins CI/CD,Done,15/Sep/25 4:26 AM
Declarative Post Actions,CPB-34,10357,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:17 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4cfbd869,,,,,,,,,,,,,,,,0|i000pz:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_1895985_*|*_10066_*:*_2_*:*_16629802,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Declarative: Tool Install,CPB-26,10341,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:12 PM,15/Sep/25 4:25 AM,,15/Sep/25 4:25 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3baac35b,,,,,,,,,,,,,,,,0|i000q3:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16899052,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:25 AM
Clean Workspace,CPB-27,10343,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:15 PM,15/Sep/25 4:25 AM,,15/Sep/25 4:25 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47135d48,,,,,,,,,,,,,,,,0|i000qb:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16703588,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:25 AM
Checkout from Git,CPB-28,10345,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:16 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b694f12,,,,,,,,,,,,,,,,0|i000qj:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16722858,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
SonarQube Analysis,CPB-29,10347,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:16 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6920471b,,,,,,,,,,,,,,,,0|i000qr:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_1869006_*|*_10066_*:*_2_*:*_16708677,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Quality Gate,CPB-30,10349,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:16 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e29501,,,,,,,,,,,,,,,,0|i000qz:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16668466,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Deploy to EKS Cluster,CPB-33,10355,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:17 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32851bfe,,,,,,,,,,,,,,,,0|i000r3:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16649126,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Install Dependencies,CPB-31,10351,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:16 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69c0ef8a,,,,,,,,,,,,,,,,0|i000r7:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16682533,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Docker Build & Push,CPB-32,10353,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,14/Sep/25 11:17 PM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b718dcd,,,,,,,,,,,,,,,,0|i000rf:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_16651128,,10333.0,CPB-22,CI/CD Stages,Done,15/Sep/25 4:26 AM
Write Dockerfile,CPB-35,10359,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:36 AM,15/Sep/25 9:05 AM,,15/Sep/25 9:05 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42dff591,,,,,,,,,,,,,,,,0|i000s3:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_23266494,,10295.0,CPB-4,Docker Deployment,Done,15/Sep/25 9:05 AM
Build Image & Push via Jenkins,CPB-36,10361,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:37 AM,15/Sep/25 9:05 AM,,15/Sep/25 9:05 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1120de7f,,,,,,,,,,,,,,,,0|i000sb:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_23215485,,10295.0,CPB-4,Docker Deployment,Done,15/Sep/25 9:05 AM
Run Container & Test App,CPB-37,10363,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:38 AM,15/Sep/25 9:05 AM,,15/Sep/25 9:05 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d535951,,,,,,,,,,,,,,,,0|i000sj:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_23193122,,10295.0,CPB-4,Docker Deployment,Done,15/Sep/25 9:05 AM
Write deployment.yaml & service.yaml,CPB-38,10365,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:39 AM,15/Sep/25 9:53 AM,,15/Sep/25 9:53 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77392280,,,,,,,,,,,,,,,,0|i000sr:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_23693212,,10296.0,CPB-5,Kubernetes (EKS) Deployment,Done,15/Sep/25 9:53 AM
Deploy App to EKS,CPB-39,10367,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:39 AM,15/Sep/25 9:53 AM,,15/Sep/25 9:53 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@180433c,,,,,,,,,,,,,,,,0|i000sz:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_23661699,,10296.0,CPB-5,Kubernetes (EKS) Deployment,Done,15/Sep/25 9:53 AM
"Validate with kubectl get pods, get svc",CPB-40,10369,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:40 AM,15/Sep/25 9:53 AM,,15/Sep/25 9:53 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12410671,,,,,,,,,,,,,,,,0|i000t7:,,,CPB Sprint 1,,,,,,,,,,,10066_*:*_1_*:*_25951649_*|*_10067_*:*_1_*:*_0,,10296.0,CPB-5,Kubernetes (EKS) Deployment,Done,15/Sep/25 9:53 AM
Install Prometheus & Node Exporter,CPB-41,10371,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:41 AM,15/Sep/25 9:55 AM,,15/Sep/25 9:55 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@332754e,,,,,,,,,,,,,,,,0|i000tf:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_25994666,,10297.0,CPB-6,Monitoring & Observability,Done,15/Sep/25 9:55 AM
Configure Grafana Dashboards,CPB-42,10373,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:42 AM,15/Sep/25 9:55 AM,,15/Sep/25 9:55 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47a1bf0b,,,,,,,,,,,,,,,,0|i000tn:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_25970128,,10297.0,CPB-6,Monitoring & Observability,Done,15/Sep/25 9:55 AM
Integrate Jenkins Metrics,CPB-43,10375,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:43 AM,15/Sep/25 9:56 AM,,15/Sep/25 9:56 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6daac4df,,,,,,,,,,,,,,,,0|i000tv:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_25928290,,10297.0,CPB-6,Monitoring & Observability,Done,15/Sep/25 9:56 AM
Collect Reports & Screenshots,CPB-44,10377,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:44 AM,15/Sep/25 9:58 AM,,15/Sep/25 9:58 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b81662,,,,,,,,,,,,,,,,0|i000u3:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_26016944,,10298.0,CPB-7,Final Deliverables,Done,15/Sep/25 9:58 AM
Prepare Word Document,CPB-45,10379,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:44 AM,15/Sep/25 9:58 AM,,15/Sep/25 9:58 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78a09caa,,,,,,,,,,,,,,,,0|i000ub:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_25991101,,10298.0,CPB-7,Final Deliverables,Done,15/Sep/25 9:58 AM
Export Jira Board (Proof of Task Completion),CPB-46,10381,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,15/Sep/25 2:45 AM,15/Sep/25 9:58 AM,,15/Sep/25 9:58 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4dfe129,,,,,,,,,,,,,,,,0|i000uj:,,,CPB Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_25944120,,10298.0,CPB-7,Final Deliverables,Done,15/Sep/25 9:58 AM
Final Deliverables,CPB-7,10298,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:39 AM,15/Sep/25 9:58 AM,,15/Sep/25 9:58 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@204dbacd,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i000ur:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_170310953,,,,,Done,15/Sep/25 9:58 AM
